赛区,学校,战队,兵种,MVP次数
2025赛季全国赛,华南理工大学,华南虎,英雄,5
2025赛季全国赛,华南理工大学,华南虎,步兵3,2
2025赛季全国赛,华南理工大学,华南虎,步兵4,1
2025赛季全国赛,华南理工大学,华南虎,哨兵,1
2025赛季全国赛,华南理工大学,华南虎,无人机,1
2025赛季全国赛,华南理工大学,华南虎,雷达,0
2025赛季全国赛,华南理工大学,华南虎,工程,2
2025赛季全国赛,华南理工大学,华南虎,飞镖,3
2025赛季全国赛,华南农业大学,Taurus,英雄,5
2025赛季全国赛,华南农业大学,Taurus,步兵3,2
2025赛季全国赛,华南农业大学,Taurus,步兵4,1
2025赛季全国赛,华南农业大学,Taurus,哨兵,0
2025赛季全国赛,华南农业大学,Taurus,无人机,2
2025赛季全国赛,华南农业大学,Taurus,雷达,0
2025赛季全国赛,华南农业大学,Taurus,工程,1
2025赛季全国赛,华南农业大学,Taurus,飞镖,0
2025赛季全国赛,深圳大学,RobotPilots,英雄,2
2025赛季全国赛,深圳大学,RobotPilots,步兵3,1
2025赛季全国赛,深圳大学,RobotPilots,步兵4,0
2025赛季全国赛,深圳大学,RobotPilots,哨兵,0
2025赛季全国赛,深圳大学,RobotPilots,无人机,1
2025赛季全国赛,深圳大学,RobotPilots,雷达,0
2025赛季全国赛,深圳大学,RobotPilots,工程,1
2025赛季全国赛,深圳大学,RobotPilots,飞镖,1
2025赛季全国赛,南方科技大学,ARTINX,英雄,1
2025赛季全国赛,南方科技大学,ARTINX,步兵3,0
2025赛季全国赛,南方科技大学,ARTINX,步兵4,1
2025赛季全国赛,南方科技大学,ARTINX,哨兵,1
2025赛季全国赛,南方科技大学,ARTINX,无人机,0
2025赛季全国赛,南方科技大学,ARTINX,雷达,0
2025赛季全国赛,南方科技大学,ARTINX,工程,1
2025赛季全国赛,南方科技大学,ARTINX,飞镖,1
2025赛季全国赛,电子科技大学中山学院,RoboBraver,英雄,3
2025赛季全国赛,电子科技大学中山学院,RoboBraver,步兵3,1
2025赛季全国赛,电子科技大学中山学院,RoboBraver,步兵4,1
2025赛季全国赛,电子科技大学中山学院,RoboBraver,哨兵,0
2025赛季全国赛,电子科技大学中山学院,RoboBraver,无人机,0
2025赛季全国赛,电子科技大学中山学院,RoboBraver,雷达,0
2025赛季全国赛,电子科技大学中山学院,RoboBraver,工程,0
2025赛季全国赛,电子科技大学中山学院,RoboBraver,飞镖,0
2025赛季全国赛,佛山大学,醒狮,英雄,0
2025赛季全国赛,佛山大学,醒狮,步兵3,0
2025赛季全国赛,佛山大学,醒狮,步兵4,0
2025赛季全国赛,佛山大学,醒狮,哨兵,0
2025赛季全国赛,佛山大学,醒狮,无人机,0
2025赛季全国赛,佛山大学,醒狮,雷达,0
2025赛季全国赛,佛山大学,醒狮,工程,0
2025赛季全国赛,佛山大学,醒狮,飞镖,0
2025赛季全国赛,太原理工大学,TRoMaC,英雄,1
2025赛季全国赛,太原理工大学,TRoMaC,步兵3,2
2025赛季全国赛,太原理工大学,TRoMaC,步兵4,2
2025赛季全国赛,太原理工大学,TRoMaC,哨兵,0
2025赛季全国赛,太原理工大学,TRoMaC,无人机,2
