赛区,学校,战队,兵种,MVP次数
2026全国赛,华南农业大学,Taurus,英雄,5
2026全国赛,华南农业大学,Taurus,步兵3,5
2026全国赛,华南农业大学,Taurus,步兵4,0
2026全国赛,华南农业大学,Taurus,哨兵,1
2026全国赛,华南农业大学,Taurus,无人机,4
2026全国赛,华南农业大学,Taurus,雷达,0
2026全国赛,华南农业大学,Taurus,工程,7
2026全国赛,华南农业大学,Taurus,飞镖,9
2026全国赛,五邑大学,IMCA,英雄,4
2026全国赛,五邑大学,IMCA,步兵3,3
2026全国赛,五邑大学,IMCA,步兵4,0
2026全国赛,五邑大学,IMCA,哨兵,0
2026全国赛,五邑大学,IMCA,无人机,1
2026全国赛,五邑大学,IMCA,雷达,1
2026全国赛,五邑大学,IMCA,工程,0
2026全国赛,五邑大学,IMCA,飞镖,0
2026全国赛,广州城市理工学院,野狼,英雄,7
2026全国赛,广州城市理工学院,野狼,步兵3,0
2026全国赛,广州城市理工学院,野狼,步兵4,0
2026全国赛,广州城市理工学院,野狼,哨兵,0
2026全国赛,广州城市理工学院,野狼,无人机,2
2026全国赛,广州城市理工学院,野狼,雷达,0
2026全国赛,广州城市理工学院,野狼,工程,0
2026全国赛,广州城市理工学院,野狼,飞镖,3
2026全国赛,东莞理工学院,ACE,英雄,10
2026全国赛,东莞理工学院,ACE,步兵3,1
2026全国赛,东莞理工学院,ACE,步兵4,1
2026全国赛,东莞理工学院,ACE,哨兵,0
2026全国赛,东莞理工学院,ACE,无人机,3
2026全国赛,东莞理工学院,ACE,雷达,0
2026全国赛,东莞理工学院,ACE,工程,0
2026全国赛,东莞理工学院,ACE,飞镖,4
2026全国赛,电子科技大学中山学院,RoboBraver,英雄,0
2026全国赛,电子科技大学中山学院,RoboBraver,步兵3,0
2026全国赛,电子科技大学中山学院,RoboBraver,步兵4,0
2026全国赛,电子科技大学中山学院,RoboBraver,哨兵,0
2026全国赛,电子科技大学中山学院,RoboBraver,无人机,0
2026全国赛,电子科技大学中山学院,RoboBraver,雷达,0
2026全国赛,电子科技大学中山学院,RoboBraver,工程,1
2026全国赛,电子科技大学中山学院,RoboBraver,飞镖,1
2026全国赛,华南理工大学,华南虎,英雄,3
2026全国赛,华南理工大学,华南虎,步兵3,1
2026全国赛,华南理工大学,华南虎,步兵4,1
2026全国赛,华南理工大学,华南虎,哨兵,0
2026全国赛,华南理工大学,华南虎,无人机,1
2026全国赛,华南理工大学,华南虎,雷达,0
2026全国赛,华南理工大学,华南虎,工程,0
2026全国赛,华南理工大学,华南虎,飞镖,5
2026全国赛,上海交通大学,交龙,英雄,0
2026全国赛,上海交通大学,交龙,步兵3,1
2026全国赛,上海交通大学,交龙,步兵4,1
2026全国赛,上海交通大学,交龙,哨兵,0
2026全国赛,上海交通大学,交龙,无人机,1
2026全国赛,上海交通大学,交龙,雷达,0
2026全国赛,上海交通大学,交龙,工程,0
2026全国赛,上海交通大学,交龙,飞镖,1
2026全国赛,仲恺农业工程学院,奇点,英雄,0
2026全国赛,仲恺农业工程学院,奇点,步兵3,1
2026全国赛,仲恺农业工程学院,奇点,步兵4,0
2026全国赛,仲恺农业工程学院,奇点,哨兵,2
2026全国赛,仲恺农业工程学院,奇点,无人机,0
2026全国赛,仲恺农业工程学院,奇点,雷达,0
2026全国赛,仲恺农业工程学院,奇点,工程,1
2026全国赛,仲恺农业工程学院,奇点,飞镖,5
2026全国赛,深圳大学,RobotPilots,英雄,5
2026全国赛,深圳大学,RobotPilots,步兵3,0
2026全国赛,深圳大学,RobotPilots,步兵4,0
2026全国赛,深圳大学,RobotPilots,哨兵,2
2026全国赛,深圳大学,RobotPilots,无人机,1
2026全国赛,深圳大学,RobotPilots,雷达,0
2026全国赛,深圳大学,RobotPilots,工程,1
2026全国赛,深圳大学,RobotPilots,飞镖,4
2026全国赛,武汉工程大学,Nautilus,英雄,1
2026全国赛,武汉工程大学,Nautilus,步兵3,1
2026全国赛,武汉工程大学,Nautilus,步兵4,2
2026全国赛,武汉工程大学,Nautilus,哨兵,0
2026全国赛,武汉工程大学,Nautilus,无人机,0
2026全国赛,武汉工程大学,Nautilus,雷达,0
2026全国赛,武汉工程大学,Nautilus,工程,1
2026全国赛,武汉工程大学,Nautilus,飞镖,2
2026全国赛,广东工业大学,DynamicX,英雄,1
2026全国赛,广东工业大学,DynamicX,步兵3,1
2026全国赛,广东工业大学,DynamicX,步兵4,0
2026全国赛,广东工业大学,DynamicX,哨兵,0
2026全国赛,广东工业大学,DynamicX,无人机,4
2026全国赛,广东工业大学,DynamicX,雷达,1
2026全国赛,广东工业大学,DynamicX,工程,0
2026全国赛,广东工业大学,DynamicX,飞镖,2
2026全国赛,厦门大学嘉庚学院,TCR,英雄,2
2026全国赛,厦门大学嘉庚学院,TCR,步兵3,0
2026全国赛,厦门大学嘉庚学院,TCR,步兵4,2
2026全国赛,厦门大学嘉庚学院,TCR,哨兵,1
2026全国赛,厦门大学嘉庚学院,TCR,无人机,0
2026全国赛,厦门大学嘉庚学院,TCR,雷达,0
2026全国赛,厦门大学嘉庚学院,TCR,工程,0
2026全国赛,厦门大学嘉庚学院,TCR,飞镖,2
2026全国赛,中国石油大学（华东）,RPS,英雄,3
2026全国赛,中国石油大学（华东）,RPS,步兵3,2
2026全国赛,中国石油大学（华东）,RPS,步兵4,1
2026全国赛,中国石油大学（华东）,RPS,哨兵,1
2026全国赛,中国石油大学（华东）,RPS,无人机,4
2026全国赛,中国石油大学（华东）,RPS,雷达,0
2026全国赛,中国石油大学（华东）,RPS,工程,0
2026全国赛,中国石油大学（华东）,RPS,飞镖,4
2026全国赛,山东科技大学,SmartRobot,英雄,0
2026全国赛,山东科技大学,SmartRobot,步兵3,0
2026全国赛,山东科技大学,SmartRobot,步兵4,0
2026全国赛,山东科技大学,SmartRobot,哨兵,0
2026全国赛,山东科技大学,SmartRobot,无人机,0
2026全国赛,山东科技大学,SmartRobot,雷达,0
2026全国赛,山东科技大学,SmartRobot,工程,0
2026全国赛,山东科技大学,SmartRobot,飞镖,2
2026全国赛,合肥工业大学（宣城校区）,WDR,英雄,0
2026全国赛,合肥工业大学（宣城校区）,WDR,步兵3,0
2026全国赛,合肥工业大学（宣城校区）,WDR,步兵4,0
2026全国赛,合肥工业大学（宣城校区）,WDR,哨兵,0
2026全国赛,合肥工业大学（宣城校区）,WDR,无人机,2
2026全国赛,合肥工业大学（宣城校区）,WDR,雷达,0
2026全国赛,合肥工业大学（宣城校区）,WDR,工程,1
