赛区,学校,战队,兵种,MVP次数
2026复活赛,广东工业大学,DynamicX,英雄,3
2026复活赛,广东工业大学,DynamicX,步兵3,0
2026复活赛,广东工业大学,DynamicX,步兵4,1
2026复活赛,广东工业大学,DynamicX,哨兵,0
2026复活赛,广东工业大学,DynamicX,无人机,1
2026复活赛,广东工业大学,DynamicX,雷达,1
2026复活赛,广东工业大学,DynamicX,工程,0
2026复活赛,广东工业大学,DynamicX,飞镖,8
2026复活赛,桂林电子科技大学,Evolution,英雄,0
2026复活赛,桂林电子科技大学,Evolution,步兵3,1
2026复活赛,桂林电子科技大学,Evolution,步兵4,1
2026复活赛,桂林电子科技大学,Evolution,哨兵,0
2026复活赛,桂林电子科技大学,Evolution,无人机,1
2026复活赛,桂林电子科技大学,Evolution,雷达,0
2026复活赛,桂林电子科技大学,Evolution,工程,1
2026复活赛,桂林电子科技大学,Evolution,飞镖,2
2026复活赛,华中科技大学,狼牙,英雄,1
2026复活赛,华中科技大学,狼牙,步兵3,0
2026复活赛,华中科技大学,狼牙,步兵4,1
2026复活赛,华中科技大学,狼牙,哨兵,0
2026复活赛,华中科技大学,狼牙,无人机,3
2026复活赛,华中科技大学,狼牙,雷达,0
2026复活赛,华中科技大学,狼牙,工程,0
2026复活赛,华中科技大学,狼牙,飞镖,1
2026复活赛,南华大学,MA,英雄,0
2026复活赛,南华大学,MA,步兵3,0
2026复活赛,南华大学,MA,步兵4,3
2026复活赛,南华大学,MA,哨兵,0
2026复活赛,南华大学,MA,无人机,0
2026复活赛,南华大学,MA,雷达,0
2026复活赛,南华大学,MA,工程,1
2026复活赛,南华大学,MA,飞镖,0
2026复活赛,厦门大学嘉庚学院,TCR,英雄,0
2026复活赛,厦门大学嘉庚学院,TCR,步兵3,3
2026复活赛,厦门大学嘉庚学院,TCR,步兵4,0
2026复活赛,厦门大学嘉庚学院,TCR,哨兵,0
2026复活赛,厦门大学嘉庚学院,TCR,无人机,0
2026复活赛,厦门大学嘉庚学院,TCR,雷达,1
2026复活赛,厦门大学嘉庚学院,TCR,工程,0
2026复活赛,厦门大学嘉庚学院,TCR,飞镖,7
2026复活赛,深圳技术大学,悍匠,英雄,0
2026复活赛,深圳技术大学,悍匠,步兵3,0
2026复活赛,深圳技术大学,悍匠,步兵4,0
2026复活赛,深圳技术大学,悍匠,哨兵,0
2026复活赛,深圳技术大学,悍匠,无人机,0
2026复活赛,深圳技术大学,悍匠,雷达,0
2026复活赛,深圳技术大学,悍匠,工程,0
2026复活赛,深圳技术大学,悍匠,飞镖,0
2026复活赛,江南大学霞客湾校区,SHARK,英雄,0
2026复活赛,江南大学霞客湾校区,SHARK,步兵3,0
2026复活赛,江南大学霞客湾校区,SHARK,步兵4,2
2026复活赛,江南大学霞客湾校区,SHARK,哨兵,0
2026复活赛,江南大学霞客湾校区,SHARK,无人机,0
2026复活赛,江南大学霞客湾校区,SHARK,雷达,0
2026复活赛,江南大学霞客湾校区,SHARK,工程,0
2026复活赛,江南大学霞客湾校区,SHARK,飞镖,0
2026复活赛,南方科技大学,ARTINX,英雄,0
2026复活赛,南方科技大学,ARTINX,步兵3,0
2026复活赛,南方科技大学,ARTINX,步兵4,0
2026复活赛,南方科技大学,ARTINX,哨兵,0
2026复活赛,南方科技大学,ARTINX,无人机,0
2026复活赛,南方科技大学,ARTINX,雷达,0
2026复活赛,南方科技大学,ARTINX,工程,0
2026复活赛,南方科技大学,ARTINX,飞镖,0
2026复活赛,南京航空航天大学金城学院,Born of Fire,英雄,1
2026复活赛,南京航空航天大学金城学院,Born of Fire,步兵3,0
2026复活赛,南京航空航天大学金城学院,Born of Fire,步兵4,0
2026复活赛,南京航空航天大学金城学院,Born of Fire,哨兵,0
2026复活赛,南京航空航天大学金城学院,Born of Fire,无人机,2
2026复活赛,南京航空航天大学金城学院,Born of Fire,雷达,0
2026复活赛,南京航空航天大学金城学院,Born of Fire,工程,0
2026复活赛,南京航空航天大学金城学院,Born of Fire,飞镖,0
2026复活赛,太原科技大学,NewMaker,英雄,0
2026复活赛,太原科技大学,NewMaker,步兵3,1
2026复活赛,太原科技大学,NewMaker,步兵4,0
2026复活赛,太原科技大学,NewMaker,哨兵,0
2026复活赛,太原科技大学,NewMaker,无人机,0
2026复活赛,太原科技大学,NewMaker,雷达,0
2026复活赛,太原科技大学,NewMaker,工程,0
2026复活赛,太原科技大学,NewMaker,飞镖,5
2026复活赛,中国科学技术大学,RoboWalker,英雄,0
2026复活赛,中国科学技术大学,RoboWalker,步兵3,0
2026复活赛,中国科学技术大学,RoboWalker,步兵4,0
2026复活赛,中国科学技术大学,RoboWalker,哨兵,0
2026复活赛,中国科学技术大学,RoboWalker,无人机,2
2026复活赛,中国科学技术大学,RoboWalker,雷达,1
2026复活赛,中国科学技术大学,RoboWalker,工程,0
2026复活赛,中国科学技术大学,RoboWalker,飞镖,0
2026复活赛,中国矿业大学,CUBOT,英雄,0
2026复活赛,中国矿业大学,CUBOT,步兵3,0
2026复活赛,中国矿业大学,CUBOT,步兵4,0
2026复活赛,中国矿业大学,CUBOT,哨兵,0
2026复活赛,中国矿业大学,CUBOT,无人机,0
2026复活赛,中国矿业大学,CUBOT,雷达,0
2026复活赛,中国矿业大学,CUBOT,工程,0
2026复活赛,中国矿业大学,CUBOT,飞镖,0
2026复活赛,山东理工大学,齐奇,英雄,0
2026复活赛,山东理工大学,齐奇,步兵3,0
2026复活赛,山东理工大学,齐奇,步兵4,0
2026复活赛,山东理工大学,齐奇,哨兵,1
2026复活赛,山东理工大学,齐奇,无人机,0
2026复活赛,山东理工大学,齐奇,雷达,0
2026复活赛,山东理工大学,齐奇,工程,1
2026复活赛,山东理工大学,齐奇,飞镖,4
2026复活赛,沈阳理工大学,Ambition,英雄,2
2026复活赛,沈阳理工大学,Ambition,步兵3,1
