赛区,学校,战队,兵种,MVP次数
东部分区赛,安徽信息工程学院,Artisans,英雄,0
东部分区赛,安徽信息工程学院,Artisans,步兵3,0
东部分区赛,安徽信息工程学院,Artisans,步兵4,3
东部分区赛,安徽信息工程学院,Artisans,哨兵,0
东部分区赛,安徽信息工程学院,Artisans,无人机,0
东部分区赛,安徽信息工程学院,Artisans,雷达,0
东部分区赛,安徽信息工程学院,Artisans,工程,2
东部分区赛,安徽信息工程学院,Artisans,飞镖,0
东部分区赛,北京理工大学（珠海）,毅恒,英雄,0
东部分区赛,北京理工大学（珠海）,毅恒,步兵3,0
东部分区赛,北京理工大学（珠海）,毅恒,步兵4,0
东部分区赛,北京理工大学（珠海）,毅恒,哨兵,0
东部分区赛,北京理工大学（珠海）,毅恒,无人机,8
东部分区赛,北京理工大学（珠海）,毅恒,雷达,0
东部分区赛,北京理工大学（珠海）,毅恒,工程,0
东部分区赛,北京理工大学（珠海）,毅恒,飞镖,0
东部分区赛,成都大学,Ultra,英雄,0
东部分区赛,成都大学,Ultra,步兵3,2
东部分区赛,成都大学,Ultra,步兵4,0
东部分区赛,成都大学,Ultra,哨兵,1
东部分区赛,成都大学,Ultra,无人机,0
东部分区赛,成都大学,Ultra,雷达,0
东部分区赛,成都大学,Ultra,工程,0
东部分区赛,成都大学,Ultra,飞镖,0
东部分区赛,东南大学,3SE,英雄,0
东部分区赛,东南大学,3SE,步兵3,0
东部分区赛,东南大学,3SE,步兵4,3
东部分区赛,东南大学,3SE,哨兵,0
东部分区赛,东南大学,3SE,无人机,1
东部分区赛,东南大学,3SE,雷达,0
东部分区赛,东南大学,3SE,工程,1
东部分区赛,东南大学,3SE,飞镖,0
东部分区赛,福建理工大学,苍侠,英雄,0
东部分区赛,福建理工大学,苍侠,步兵3,0
东部分区赛,福建理工大学,苍侠,步兵4,0
东部分区赛,福建理工大学,苍侠,哨兵,0
东部分区赛,福建理工大学,苍侠,无人机,0
东部分区赛,福建理工大学,苍侠,雷达,0
东部分区赛,福建理工大学,苍侠,工程,0
东部分区赛,福建理工大学,苍侠,飞镖,0
