赛区,学校,战队,兵种,MVP次数
北部分区赛,北方工业大学,DreamTeam,英雄,0
北部分区赛,北方工业大学,DreamTeam,步兵3,0
北部分区赛,北方工业大学,DreamTeam,步兵4,0
北部分区赛,北方工业大学,DreamTeam,哨兵,0
北部分区赛,北方工业大学,DreamTeam,无人机,0
北部分区赛,北方工业大学,DreamTeam,雷达,0
北部分区赛,北方工业大学,DreamTeam,工程,0
北部分区赛,北方工业大学,DreamTeam,飞镖,0
北部分区赛,北京理工大学,追梦,英雄,2
北部分区赛,北京理工大学,追梦,步兵3,1
北部分区赛,北京理工大学,追梦,步兵4,4
北部分区赛,北京理工大学,追梦,哨兵,1
北部分区赛,北京理工大学,追梦,无人机,1
北部分区赛,北京理工大学,追梦,雷达,0
北部分区赛,北京理工大学,追梦,工程,3
北部分区赛,北京理工大学,追梦,飞镖,0
北部分区赛,北京信息科技大学,星辰,英雄,0
北部分区赛,北京信息科技大学,星辰,步兵3,1
北部分区赛,北京信息科技大学,星辰,步兵4,0
北部分区赛,北京信息科技大学,星辰,哨兵,0
北部分区赛,北京信息科技大学,星辰,无人机,0
北部分区赛,北京信息科技大学,星辰,雷达,0
北部分区赛,北京信息科技大学,星辰,工程,1
北部分区赛,北京信息科技大学,星辰,飞镖,0
北部分区赛,常州大学,Climber,英雄,0
北部分区赛,常州大学,Climber,步兵3,0
北部分区赛,常州大学,Climber,步兵4,2
北部分区赛,常州大学,Climber,哨兵,0
北部分区赛,常州大学,Climber,无人机,1
北部分区赛,常州大学,Climber,雷达,0
北部分区赛,常州大学,Climber,工程,1
北部分区赛,常州大学,Climber,飞镖,0
北部分区赛,成都信息工程大学,风信子,英雄,0
北部分区赛,成都信息工程大学,风信子,步兵3,0
北部分区赛,成都信息工程大学,风信子,步兵4,0
北部分区赛,成都信息工程大学,风信子,哨兵,0
北部分区赛,成都信息工程大学,风信子,无人机,0
北部分区赛,成都信息工程大学,风信子,雷达,0
北部分区赛,成都信息工程大学,风信子,工程,1
北部分区赛,成都信息工程大学,风信子,飞镖,0
北部分区赛,大连理工大学,凌BUG,英雄,0
北部分区赛,大连理工大学,凌BUG,步兵3,0
北部分区赛,大连理工大学,凌BUG,步兵4,0
北部分区赛,大连理工大学,凌BUG,哨兵,0
北部分区赛,大连理工大学,凌BUG,无人机,5
北部分区赛,大连理工大学,凌BUG,雷达,0
北部分区赛,大连理工大学,凌BUG,工程,1
北部分区赛,大连理工大学,凌BUG,飞镖,6
北部分区赛,东北大学,TDT,英雄,2
北部分区赛,东北大学,TDT,步兵3,3
北部分区赛,东北大学,TDT,步兵4,3
北部分区赛,东北大学,TDT,哨兵,4
北部分区赛,东北大学,TDT,无人机,4
北部分区赛,东北大学,TDT,雷达,3
北部分区赛,东北大学,TDT,工程,3
北部分区赛,东北大学,TDT,飞镖,6
北部分区赛,东北大学秦皇岛分校,征龙凌沧,英雄,0
北部分区赛,东北大学秦皇岛分校,征龙凌沧,步兵3,1
北部分区赛,东北大学秦皇岛分校,征龙凌沧,步兵4,0
北部分区赛,东北大学秦皇岛分校,征龙凌沧,哨兵,0
北部分区赛,东北大学秦皇岛分校,征龙凌沧,无人机,3
北部分区赛,东北大学秦皇岛分校,征龙凌沧,雷达,0
北部分区赛,东北大学秦皇岛分校,征龙凌沧,工程,0
北部分区赛,东北大学秦皇岛分校,征龙凌沧,飞镖,0
北部分区赛,复旦大学,星云EGA,英雄,0
北部分区赛,复旦大学,星云EGA,步兵3,2
北部分区赛,复旦大学,星云EGA,步兵4,6
北部分区赛,复旦大学,星云EGA,哨兵,1
北部分区赛,复旦大学,星云EGA,无人机,1
北部分区赛,复旦大学,星云EGA,雷达,0
北部分区赛,复旦大学,星云EGA,工程,4
北部分区赛,复旦大学,星云EGA,飞镖,0
北部分区赛,哈尔滨工程大学,创梦之翼,英雄,0
北部分区赛,哈尔滨工程大学,创梦之翼,步兵3,1
北部分区赛,哈尔滨工程大学,创梦之翼,步兵4,0
北部分区赛,哈尔滨工程大学,创梦之翼,哨兵,0
北部分区赛,哈尔滨工程大学,创梦之翼,无人机,3
北部分区赛,哈尔滨工程大学,创梦之翼,雷达,0
北部分区赛,哈尔滨工程大学,创梦之翼,工程,0
北部分区赛,哈尔滨工程大学,创梦之翼,飞镖,0
北部分区赛,哈尔滨工业大学,I Hiter,英雄,0
北部分区赛,哈尔滨工业大学,I Hiter,步兵3,0
北部分区赛,哈尔滨工业大学,I Hiter,步兵4,4
北部分区赛,哈尔滨工业大学,I Hiter,哨兵,3
北部分区赛,哈尔滨工业大学,I Hiter,无人机,0
北部分区赛,哈尔滨工业大学,I Hiter,雷达,0
北部分区赛,哈尔滨工业大学,I Hiter,工程,6
北部分区赛,哈尔滨工业大学,I Hiter,飞镖,6
北部分区赛,哈尔滨工业大学（威海）,HERO,英雄,5
北部分区赛,哈尔滨工业大学（威海）,HERO,步兵3,4
北部分区赛,哈尔滨工业大学（威海）,HERO,步兵4,5
北部分区赛,哈尔滨工业大学（威海）,HERO,哨兵,0
北部分区赛,哈尔滨工业大学（威海）,HERO,无人机,0
北部分区赛,哈尔滨工业大学（威海）,HERO,雷达,1
北部分区赛,哈尔滨工业大学（威海）,HERO,工程,4
北部分区赛,哈尔滨工业大学（威海）,HERO,飞镖,2
北部分区赛,河北科技大学,Actor&Thinker,英雄,0
北部分区赛,河北科技大学,Actor&Thinker,步兵3,1
北部分区赛,河北科技大学,Actor&Thinker,步兵4,1
北部分区赛,河北科技大学,Actor&Thinker,哨兵,0
北部分区赛,河北科技大学,Actor&Thinker,无人机,3
北部分区赛,河北科技大学,Actor&Thinker,雷达,0
北部分区赛,河北科技大学,Actor&Thinker,工程,1
北部分区赛,河北科技大学,Actor&Thinker,飞镖,0
北部分区赛,应急管理大学,风暴,英雄,3
北部分区赛,应急管理大学,风暴,步兵3,1
北部分区赛,应急管理大学,风暴,步兵4,2
北部分区赛,应急管理大学,风暴,哨兵,0
北部分区赛,应急管理大学,风暴,无人机,2
北部分区赛,应急管理大学,风暴,雷达,0
北部分区赛,应急管理大学,风暴,工程,2
北部分区赛,应急管理大学,风暴,飞镖,0
北部分区赛,华北理工大学,Horizon,英雄,0
北部分区赛,华北理工大学,Horizon,步兵3,0
北部分区赛,华北理工大学,Horizon,步兵4,2
北部分区赛,华北理工大学,Horizon,哨兵,0
北部分区赛,华北理工大学,Horizon,无人机,3
北部分区赛,华北理工大学,Horizon,雷达,0
北部分区赛,华北理工大学,Horizon,工程,0
北部分区赛,华北理工大学,Horizon,飞镖,0
北部分区赛,华南师范大学,PIONEER,英雄,0
北部分区赛,华南师范大学,PIONEER,步兵3,0
北部分区赛,华南师范大学,PIONEER,步兵4,0
北部分区赛,华南师范大学,PIONEER,哨兵,0
北部分区赛,华南师范大学,PIONEER,无人机,6
北部分区赛,华南师范大学,PIONEER,雷达,1
北部分区赛,华南师范大学,PIONEER,工程,0
北部分区赛,华南师范大学,PIONEER,飞镖,0
北部分区赛,吉林大学,TARS Go,英雄,0
北部分区赛,吉林大学,TARS Go,步兵3,2
北部分区赛,吉林大学,TARS Go,步兵4,1
北部分区赛,吉林大学,TARS Go,哨兵,0
北部分区赛,吉林大学,TARS Go,无人机,2
北部分区赛,吉林大学,TARS Go,雷达,0
北部分区赛,吉林大学,TARS Go,工程,0
北部分区赛,吉林大学,TARS Go,飞镖,0
北部分区赛,辽宁石油化工大学,TCN,英雄,0
北部分区赛,辽宁石油化工大学,TCN,步兵3,0
北部分区赛,辽宁石油化工大学,TCN,步兵4,0
北部分区赛,辽宁石油化工大学,TCN,哨兵,0
北部分区赛,辽宁石油化工大学,TCN,无人机,0
北部分区赛,辽宁石油化工大学,TCN,雷达,0
北部分区赛,辽宁石油化工大学,TCN,工程,0
北部分区赛,辽宁石油化工大学,TCN,飞镖,0
北部分区赛,内蒙古科技大学,雷霆,英雄,0
北部分区赛,内蒙古科技大学,雷霆,步兵3,0
北部分区赛,内蒙古科技大学,雷霆,步兵4,0
北部分区赛,内蒙古科技大学,雷霆,哨兵,0
北部分区赛,内蒙古科技大学,雷霆,无人机,0
北部分区赛,内蒙古科技大学,雷霆,雷达,0
北部分区赛,内蒙古科技大学,雷霆,工程,0
北部分区赛,内蒙古科技大学,雷霆,飞镖,0
北部分区赛,山东理工大学,齐奇,英雄,0
北部分区赛,山东理工大学,齐奇,步兵3,4
北部分区赛,山东理工大学,齐奇,步兵4,4
北部分区赛,山东理工大学,齐奇,哨兵,0
北部分区赛,山东理工大学,齐奇,无人机,0
北部分区赛,山东理工大学,齐奇,雷达,0
北部分区赛,山东理工大学,齐奇,工程,3
北部分区赛,山东理工大学,齐奇,飞镖,1
北部分区赛,沈阳理工大学,Ambition,英雄,0
北部分区赛,沈阳理工大学,Ambition,步兵3,4
北部分区赛,沈阳理工大学,Ambition,步兵4,3
北部分区赛,沈阳理工大学,Ambition,哨兵,0
