赛区,学校,战队,兵种,MVP次数
南部分区赛,电子科技大学中山学院,RoboBraver,英雄,2
南部分区赛,电子科技大学中山学院,RoboBraver,步兵3,0
南部分区赛,电子科技大学中山学院,RoboBraver,步兵4,1
南部分区赛,电子科技大学中山学院,RoboBraver,哨兵,0
南部分区赛,电子科技大学中山学院,RoboBraver,无人机,4
南部分区赛,电子科技大学中山学院,RoboBraver,雷达,0
南部分区赛,电子科技大学中山学院,RoboBraver,工程,0
南部分区赛,电子科技大学中山学院,RoboBraver,飞镖,3
南部分区赛,东莞理工学院,ACE,英雄,6
南部分区赛,东莞理工学院,ACE,步兵3,1
南部分区赛,东莞理工学院,ACE,步兵4,3
南部分区赛,东莞理工学院,ACE,哨兵,2
南部分区赛,东莞理工学院,ACE,无人机,4
南部分区赛,东莞理工学院,ACE,雷达,0
南部分区赛,东莞理工学院,ACE,工程,0
南部分区赛,东莞理工学院,ACE,飞镖,0
南部分区赛,广东工业大学,DynamicX,英雄,1
南部分区赛,广东工业大学,DynamicX,步兵3,0
南部分区赛,广东工业大学,DynamicX,步兵4,1
南部分区赛,广东工业大学,DynamicX,哨兵,1
南部分区赛,广东工业大学,DynamicX,无人机,3
南部分区赛,广东工业大学,DynamicX,雷达,0
南部分区赛,广东工业大学,DynamicX,工程,0
南部分区赛,广东工业大学,DynamicX,飞镖,7
南部分区赛,广州城市理工学院,野狼,英雄,4
南部分区赛,广州城市理工学院,野狼,步兵3,5
南部分区赛,广州城市理工学院,野狼,步兵4,0
南部分区赛,广州城市理工学院,野狼,哨兵,0
南部分区赛,广州城市理工学院,野狼,无人机,3
南部分区赛,广州城市理工学院,野狼,雷达,0
南部分区赛,广州城市理工学院,野狼,工程,0
南部分区赛,广州城市理工学院,野狼,飞镖,4
南部分区赛,广州航海学院,ICBK破冰船,英雄,0
南部分区赛,广州航海学院,ICBK破冰船,步兵3,0
南部分区赛,广州航海学院,ICBK破冰船,步兵4,0
南部分区赛,广州航海学院,ICBK破冰船,哨兵,2
南部分区赛,广州航海学院,ICBK破冰船,无人机,1
南部分区赛,广州航海学院,ICBK破冰船,雷达,0
南部分区赛,广州航海学院,ICBK破冰船,工程,0
南部分区赛,广州航海学院,ICBK破冰船,飞镖,0
南部分区赛,桂林电子科技大学,Evolution,英雄,1
南部分区赛,桂林电子科技大学,Evolution,步兵3,2
南部分区赛,桂林电子科技大学,Evolution,步兵4,1
南部分区赛,桂林电子科技大学,Evolution,哨兵,1
南部分区赛,桂林电子科技大学,Evolution,无人机,0
南部分区赛,桂林电子科技大学,Evolution,雷达,0
南部分区赛,桂林电子科技大学,Evolution,工程,0
南部分区赛,桂林电子科技大学,Evolution,飞镖,3
南部分区赛,桂林理工大学,群星,英雄,0
南部分区赛,桂林理工大学,群星,步兵3,0
南部分区赛,桂林理工大学,群星,步兵4,2
南部分区赛,桂林理工大学,群星,哨兵,0
南部分区赛,桂林理工大学,群星,无人机,0
南部分区赛,桂林理工大学,群星,雷达,0
南部分区赛,桂林理工大学,群星,工程,0
南部分区赛,桂林理工大学,群星,飞镖,0
南部分区赛,桂林信息科技学院,GIRT,英雄,0
南部分区赛,桂林信息科技学院,GIRT,步兵3,0
南部分区赛,桂林信息科技学院,GIRT,步兵4,1
南部分区赛,桂林信息科技学院,GIRT,哨兵,0
南部分区赛,桂林信息科技学院,GIRT,无人机,2
南部分区赛,桂林信息科技学院,GIRT,雷达,0
南部分区赛,桂林信息科技学院,GIRT,工程,0
南部分区赛,桂林信息科技学院,GIRT,飞镖,0
南部分区赛,国防科技大学,军临,英雄,0
南部分区赛,国防科技大学,军临,步兵3,0
南部分区赛,国防科技大学,军临,步兵4,0
南部分区赛,国防科技大学,军临,哨兵,1
南部分区赛,国防科技大学,军临,无人机,0
南部分区赛,国防科技大学,军临,雷达,0
南部分区赛,国防科技大学,军临,工程,0
南部分区赛,国防科技大学,军临,飞镖,0
南部分区赛,华南理工大学,华南虎,英雄,0
南部分区赛,华南理工大学,华南虎,步兵3,5
南部分区赛,华南理工大学,华南虎,步兵4,6
南部分区赛,华南理工大学,华南虎,哨兵,0
南部分区赛,华南理工大学,华南虎,无人机,2
南部分区赛,华南理工大学,华南虎,雷达,0
南部分区赛,华南理工大学,华南虎,工程,0
南部分区赛,华南理工大学,华南虎,飞镖,1
南部分区赛,华南农业大学,Taurus,英雄,2
南部分区赛,华南农业大学,Taurus,步兵3,4
南部分区赛,华南农业大学,Taurus,步兵4,3
南部分区赛,华南农业大学,Taurus,哨兵,0
南部分区赛,华南农业大学,Taurus,无人机,5
